featured,date,beat,headline,summary,url,video,thumb
yes,May 2026,Health,"UMMC may have violated federal privacy law after ransomware attack","A ransomware attack crippled the state's largest hospital — and may have left it in violation of federal patient-privacy law.",https://www.wlbt.com/2026/05/22/ummc-may-have-violated-federal-privacy-law-after-ransomware-attack/,yes,
no,May 2026,Government,"Nonprofit donation to Jackson police overlaps with chief's proposed perks","A nonprofit's offer to give up to $100,000 to Jackson police closely tracked the perks proposed for the city's new chief.",https://www.wlbt.com/2026/05/19/nonprofit-donation-jackson-police-overlaps-with-chiefs-proposed-perks/,yes,
no,Apr 2026,Government,"Analysis: Proposed Jackson police chief contract may violate state law","A close reading of the proposed contract for Jackson's police chief found terms that may run afoul of state law.",https://www.wlbt.com/2026/04/17/analysis-proposed-jackson-police-chief-contract-may-violate-state-law/,no,
no,Jan 2026,Health,"Jackson plastic surgeon surrenders medical license amid patient allegations","A prominent Jackson plastic surgeon gave up his medical license as patients came forward with allegations of botched care.",https://www.wlbt.com/2026/01/10/jackson-plastic-surgeon-surrenders-medical-license-amid-patient-allegations/,no,
yes,Dec 2025,Public Records,"JXN Water hasn't inspected half of Jackson's fire hydrants","Records showed the utility had not inspected half the city's hydrants as firefighters struggled to find working ones.",https://www.wlbt.com/2025/12/23/jxn-water-hasnt-inspected-half-jacksons-fire-hydrants/,yes,
yes,Oct 2025,Courts,"The Detective vs. the DA","A former detective disputes claims he withheld evidence in the attempted-murder case of a Black FedEx driver.",https://www.wlbt.com/2025/10/02/former-detective-refutes-claims-he-withheld-evidence-case-involving-attempted-murder-black-fedex-driver/,yes,
yes,Dec 2023,Government,"'Side Hustle': The jobs that cost a mayor and a police chief their offices","A year-long look at side jobs held by a Richland mayor and a Pearl police chief forced both from office and prompted a state audit.",https://www.wlbt.com/2023/12/22/3-your-side-investigates-side-hustle/,yes,
yes,Aug 2022,Public Records,"Exclusive: Emails reveal staffing shortage threatened to shut down water plants","Internal emails exposed staffing shortages that nearly shut Jackson's water plants — and led the city to fire a whistleblower.",https://www.wlbt.com/2022/08/18/exclusive-emails-reveal-staffing-shortage-threatened-shut-down-water-treatment-plants/,yes,
yes,Jul 2022,Law Enforcement,"'Under the Influence'","A Rankin County official's drunken conduct in the hours before he faced a felony charge.",https://www.wlbt.com/2022/07/14/3-your-side-investigates-under-influence/,yes,
yes,Aug 2021,Government,"Pandemic Profits: How Hinds Co. spent more than $1.8M in election grant funds","An investigation into election grant spending that ended in three convictions and the removal of an election commissioner.",https://www.wlbt.com/2021/08/12/pandemic-profits-heres-how-hinds-co-spent-more-than-18-million-election-grant-funding/,yes,
yes,Aug 2021,Public Records,"City of Jackson slapped with largest fine in state history over records","Jackson drew the largest Ethics Commission judgment in state history for failing to turn over public records to WLBT.",https://www.wlbt.com/2021/08/06/city-jackson-slapped-with-largest-fine-state-history-following-wlbt-ethics-complaint/,no,
yes,Jan 2019,Law Enforcement,"'Pattern of Secrecy': Misleading numbers behind Jackson's crime stats","How the Jackson Police Department released misleading crime statistics — and fought to keep the real numbers secret.",https://www.wlbt.com/2019/01/31/your-side-investigates-pattern-secrecy/,yes,
